TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EMBR3;19,01;;-19,88;1,01;0,27;13,29;2,68;-2,78;20,62;34,35;13,83;0,68;0,55;0,92;-0,64;2,08;-5,10;-1,37;1,27;0,27;0,72;0,49;-0,66;;195.506.565,00;18,74;-0,96;0,24;13.735.626.566,20
ENAT3;13,27;1,46;6,65;1,06;0,63;43,38;112,00;56,22;3,34;2,34;-0,99;-0,31;3,74;2,14;-1,09;3,15;15,91;9,41;19,43;0,59;0,41;0,17;13,76;5,78;36.399.899,24;12,51;1,99;0,13;3.471.438.179,30
ENBR3;17,50;5,72;5,77;1,01;0,33;25,12;20,99;11,25;3,09;5,41;2,33;0,76;0,65;32,69;-0,44;1,04;17,54;5,80;12,48;0,33;0,63;0,52;7,87;4,03;42.726.936,58;17,28;3,03;0,16;10.571.333.863,48
ENEV3;15,52;;18,48;2,40;1,17;42,28;31,18;28,74;17,04;21,83;4,89;0,69;5,31;11,74;-1,39;2,71;12,96;6,34;6,30;0,49;0,51;0,22;16,39;48,99;64.924.454,18;6,48;0,84;0,39;19.408.365.897,27
ENGI11;42,42;4,78;6,16;1,88;0,32;21,12;16,77;11,01;4,04;7,94;3,90;1,82;0,68;6,45;-0,43;1,25;30,52;5,21;10,44;0,17;0,81;0,47;10,79;35,54;66.410.228,73;22,57;6,89;0,03;15.434.663.606,46
ENGI3;14,88;2,76;10,66;3,25;0,56;21,12;16,77;11,01;7,00;7,94;3,90;1,82;1,17;11,16;-0,74;1,25;30,52;5,21;10,44;0,17;0,81;0,47;10,79;35,54;112.872,82;4,51;1,38;0,05;15.434.663.606,46
ENGI4;6,89;5,89;5,00;1,53;0,26;21,12;16,77;11,01;3,28;7,94;3,90;1,82;0,55;5,23;-0,35;1,25;30,52;5,21;10,44;0,17;0,81;0,47;10,79;35,54;167.100,18;4,51;1,38;0,03;15.434.663.606,46
ENJU3;5,91;;-13,08;2,49;2,31;29,59;-92,62;-87,34;-12,33;-7,57;4,76;-0,96;11,42;2,66;-34,14;14,57;-19,05;-17,69;-20,20;0,93;0,07;0,20;;;19.800.480,97;2,36;-0,45;-0,04;1.159.434.888,38
ENMA3B;50,49;2,59;10,08;2,56;1,12;33,77;24,19;18,41;7,67;;0,74;0,25;1,86;5,26;-1,81;2,27;25,37;11,14;17,00;0,44;0,56;0,60;8,44;15,47;;19,74;5,01;0,31;
ENMA6B;83,99;1,56;16,77;4,25;1,87;33,77;24,19;18,41;12,76;;0,74;0,25;3,09;8,75;-3,02;2,27;25,37;11,14;17,00;0,44;0,56;0,60;8,44;15,47;;19,74;5,01;0,51;
ENMT3;71,00;6,50;13,07;5,17;1,50;28,21;24,77;19,86;10,48;12,69;2,02;1,00;2,60;24,21;-2,04;1,30;39,53;11,48;18,13;0,29;0,71;0,58;7,41;71,84;48.159,62;13,74;5,43;0,08;16.103.420.374,20
ENMT4;72,99;6,32;13,44;5,31;1,54;28,21;24,77;19,86;10,77;12,69;2,02;1,00;2,67;24,89;-2,10;1,30;39,53;11,48;18,13;0,29;0,71;0,58;7,41;71,84;37.937,87;13,74;5,43;0,08;16.103.420.374,20
EPAR3;15,71;;5,87;4,30;1,13;16,22;8,54;5,83;4,01;4,05;0,04;0,04;0,34;7,02;-2,81;1,37;73,21;19,23;52,01;0,26;0,74;3,30;5,92;-24,36;67.354,27;3,65;2,68;0,02;234.648.368,72
EQPA3;5,05;5,94;13,22;3,13;0,89;29,78;20,70;12,93;8,26;9,28;1,01;0,38;1,71;3,90;-1,62;2,04;23,69;6,76;14,32;0,29;0,71;0,52;7,01;6,67;114.206,12;1,61;0,38;0,29;11.069.774.875,24
EQPA5;7,80;3,85;20,42;4,84;1,38;29,78;20,70;12,93;12,76;9,28;1,01;0,38;2,64;6,03;-2,50;2,04;23,69;6,76;14,32;0,29;0,71;0,52;7,01;6,67;3.218,33;1,61;0,38;0,44;11.069.774.875,24
EQPA6;10,48;2,86;27,43;6,50;1,86;29,78;20,70;12,93;17,14;9,28;1,01;0,38;3,55;8,10;-3,36;2,04;23,69;6,76;14,32;0,29;0,71;0,52;7,01;6,67;;1,61;0,38;0,60;11.069.774.875,24
EQPA7;4,72;6,36;12,36;2,93;0,84;29,78;20,70;12,93;7,72;9,28;1,01;0,38;1,60;3,65;-1,52;2,04;23,69;6,76;14,32;0,29;0,71;0,52;7,01;6,67;17.209,50;1,61;0,38;0,27;11.069.774.875,24
